package,scope,category,current,installed,npm_latest,expo57_0_20_range,expo57_0_21_range,current_license,latest_license,architecture,recommendation,reason,source_file_count_including_types,source_references,usage_note,registry_url
@babel/runtime,runtime,纯JS,7.24.1,7.24.1,8.0.0,,,MIT,MIT,不适用：无自有原生模块,保留7.x,Babel运行辅助与依赖peer；Expo57的preset仍要求^7.20.0，不直接上8。,0,,Babel生成辅助函数与peer依赖,https://registry.npmjs.org/%40babel%2Fruntime/latest
@expo/vector-icons,runtime,Expo官方,15.0.3,15.0.3,15.1.1,^15.0.2,^15.0.2,MIT,MIT,Expo官方JS/组件封装,按SDK维护,15.1.1满足Expo范围，但不是架构迁移项；无需为升版本替换整套图标。,16,src/components/TracksListItem.tsx:9; src/components/PlaylistListItem.tsx:5; src/components/PlayerControls.tsx:3; src/components/AddPlayListButton.tsx:3; src/components/SearchListItem.tsx:7; src/components/RadioListItem.tsx:5; src/components/QueueControls.tsx:6; src/components/PlayerRepeatToggle.tsx:2; src/components/ShowPlayerListToggle.tsx:2; src/components/GlobalButton.tsx:3; src/components/PlayerVolumeBar.tsx:3; src/components/LogScreen.tsx:5; src/components/SingerTracksList.tsx:6; src/app/(modals)/importPlayList.tsx:8; src/app/player.tsx:20; src/app/(tabs)/_layout.tsx:5,,https://registry.npmjs.org/%40expo%2Fvector-icons/latest
@react-native-async-storage/async-storage,runtime,社区原生,2.2.0,2.2.0,3.1.1,2.2.0,2.2.0,MIT,MIT,TurboModule/codegen（兼容旧架构的双实现）,保留2.2.0,当前已支持TurboModule且是Expo57映射。3.1.1有新数据库API及legacy迁移入口，不为新架构额外迁库；可评估expo-sqlite/kv-store。,1,src/helpers/storage.ts:1; src/helpers/storage.ts:215,,https://registry.npmjs.org/%40react-native-async-storage%2Fasync-storage/latest
@react-native-menu/menu,runtime,社区原生,2.0.0,2.0.0,2.0.0,,,MIT,MIT,Fabric/codegen（双实现）,保留；可选替换,2.0.0已有Fabric。@expo/ui ContextMenu/Menu可替换，需保留菜单动作、图标、嵌套与长按/点击行为，架构收益有限。,3,src/components/TrackShortcutsMenu.tsx:7; src/app/(modals)/settingModal.tsx:19; src/app/player.tsx:21,,https://registry.npmjs.org/%40react-native-menu%2Fmenu/latest
@shopify/flash-list,runtime,社区JS组件,2.0.2,2.0.2,2.3.2,2.0.2,2.0.2,MIT,MIT,JS列表，v2要求RN新架构，无独立原生Pod,保留SDK版本,2.0.2已面向新架构。2.3.2可做独立性能/缺陷评估，Expo映射仍是2.0.2；保留memo辅助槽修复。,3,src/components/NowPlayList.tsx:7; src/components/SearchList.tsx:10; src/components/TracksList.tsx:7,,https://registry.npmjs.org/%40shopify%2Fflash-list/latest
axios,runtime,纯JS,1.7.2,1.7.2,1.20.0,,,MIT,MIT,不适用：无自有原生模块,维护升级候选,1.7.2→1.20.0仍为1.x；保留XHR、请求取消/响应和音源行为，并复核Metro定向解析。不是原生架构项。,2,src/helpers/userApi/getMusicSource.ts:7; src/helpers/userApi/xiaoqiu.js:3,,https://registry.npmjs.org/axios/latest
base-64,runtime,纯JS,0.1.0,0.1.0,1.0.0,,,,MIT,不适用：无自有原生模块,低优先级更新,0.1.0→1.0.0需验证音频元数据解码；纯JS，不影响原生新架构。,1,src/utils/musicInfo/MusicInfo.js:1,,https://registry.npmjs.org/base-64/latest
crypto-js,runtime,纯JS,4.2.0,4.2.0,4.2.0,,,MIT,MIT,不适用：无自有原生模块,保留现有协议实现,4.2.0已是latest。Expo Crypto57支持摘要/随机数/AES-GCM，但不能直接替代当前AES-CBC/ECB与协议编码。,2,src/helpers/userApi/xiaoqiu.js:4; src/components/utils/musicSdk/utils.js:1,,https://registry.npmjs.org/crypto-js/latest
expo,runtime,框架,57.0.20,57.0.20,57.0.21,,,MIT,MIT,Expo/RN新架构基础,同SDK补丁升级候选,57.0.20→57.0.21，协同Router57.0.20和babel-preset-expo57.0.11；不独立提升RN/React。,1,metro.config.js:2,,https://registry.npmjs.org/expo/latest
expo-blur,runtime,Expo官方,57.0.2,57.0.2,57.0.2,~57.0.2,~57.0.2,MIT,MIT,Expo Modules/官方原生集成,保留,已为官方SDK57模块；暂无版本差。,2,src/components/FloatingPlayer.tsx:8; src/app/(tabs)/_layout.tsx:6,,https://registry.npmjs.org/expo-blur/latest
expo-constants,runtime,Expo官方,57.0.17,57.0.17,57.0.17,~57.0.17,~57.0.17,MIT,MIT,Expo Modules/官方原生集成,保留,设置页和Router/share-intent依赖；保持SDK映射。,1,src/app/(modals)/settingModal.tsx:20,,https://registry.npmjs.org/expo-constants/latest
expo-dev-client,runtime,Expo官方,57.0.18,57.0.18,57.0.18,~57.0.18,~57.0.18,MIT,MIT,Expo Modules/官方原生集成,保留开发用途,没有业务import不等于未使用；原生开发客户端与联调需要。,0,,原生开发客户端/自动链接,https://registry.npmjs.org/expo-dev-client/latest
expo-document-picker,runtime,Expo官方,57.0.1,57.0.1,57.0.1,~57.0.1,~57.0.1,MIT,MIT,Expo Modules/官方原生集成,保留,本地音频和音源文件导入的官方模块。,2,src/app/(modals)/settingModal.tsx:21; src/app/(tabs)/favorites/localMusic.tsx:13,,https://registry.npmjs.org/expo-document-picker/latest
expo-file-system,runtime,Expo官方,57.0.6,57.0.6,57.0.6,~57.0.6,~57.0.6,MIT,MIT,Expo Modules/官方原生集成,统一文件层,已安装57.0.6；当前业务仍使用/legacy API。可用File/Directory/Paths/DownloadTask替换RNFS并逐步改成新API，保留路径和下载语义。,4,src/player/CacheManager.ts:4; src/helpers/trackPlayerIndex.ts:6; src/utils/musicInfo/MusicInfo.js:2; src/app/(modals)/shareintent.tsx:10,,https://registry.npmjs.org/expo-file-system/latest
expo-font,runtime,Expo官方,57.0.3,57.0.3,57.0.3,~57.0.3,~57.0.3,MIT,MIT,Expo Modules/官方原生集成,保留peer/基础能力,图标/Expo依赖使用；不能因业务无直接import就删除。,0,,@expo/vector-icons与Expo依赖/原生自动链接,https://registry.npmjs.org/expo-font/latest
expo-haptics,runtime,Expo官方,57.0.2,57.0.2,57.0.2,~57.0.2,~57.0.2,MIT,MIT,Expo Modules/官方原生集成,保留,已为官方SDK57模块。,2,src/components/FloatingPlayer.tsx:9; src/components/lyric/lyricItem.tsx:4,,https://registry.npmjs.org/expo-haptics/latest
